DateTime,Hop,IP,Domain Name,Loss%,Sent,Last,Avg,Best,Worst,StDev,PING tot time,CURL tot time
2024-11-09T08:29:,1,192.168.64.1,?,0.0%,10,0.7,0.7,0.3,1.0,0.2,137.0,203.77111434936523
2024-11-09T08:29:,2,10.11.0.2,?,0.0%,10,7.4,4.4,2.1,7.4,2.0,137.0,203.77111434936523
2024-11-09T08:29:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,11,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,137.0,203.77111434936523
2024-11-09T08:29:,12,67.22.48.3,?,40.0%,10,38.7,120.8,38.7,403.9,142.8,137.0,203.77111434936523
2024-11-09T08:32:,1,192.168.64.1,?,0.0%,10,1.4,0.9,0.5,1.4,0.2,62.7,731.3001155853271
2024-11-09T08:32:,2,10.11.0.2,?,0.0%,10,18.5,16.2,2.0,76.6,22.7,62.7,731.3001155853271
2024-11-09T08:32:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,11,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,62.7,731.3001155853271
2024-11-09T08:32:,12,67.22.48.3,?,0.0%,10,462.6,548.5,39.9,1738.,473.2,62.7,731.3001155853271
2024-11-09T08:35:,1,192.168.64.1,?,0.0%,10,0.6,0.9,0.6,1.2,0.2,111.0,3246.506929397583
2024-11-09T08:35:,2,10.11.0.2,?,10.0%,10,4.4,80.5,4.0,513.9,165.9,111.0,3246.506929397583
2024-11-09T08:35:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,111.0,3246.506929397583
2024-11-09T08:35:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,111.0,3246.506929397583
2024-11-09T08:35:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,111.0,3246.506929397583
2024-11-09T08:35:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,111.0,3246.506929397583
