DateTime,Hop,IP,Domain Name,Loss%,Sent,Last,Avg,Best,Worst,StDev,PING tot time,CURL tot time
2024-11-09T08:24:,1,192.168.64.1,?,0.0%,10,1.2,0.9,0.6,1.3,0.2,72.5,141.5085792541504
2024-11-09T08:24:,2,10.11.0.2,?,0.0%,10,4.6,4.8,2.8,6.2,1.3,72.5,141.5085792541504
2024-11-09T08:24:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,72.5,141.5085792541504
2024-11-09T08:24:,11,66.254.114.41,?,10.0%,10,850.7,571.6,47.6,850.7,331.1,72.5,141.5085792541504
2024-11-09T08:28:,1,192.168.64.1,?,0.0%,10,1.0,0.8,0.4,1.1,0.2,46.3,-2439.7919178009033
2024-11-09T08:28:,2,10.11.0.2,?,0.0%,10,3.0,5.5,3.0,13.2,3.0,46.3,-2439.7919178009033
2024-11-09T08:28:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,46.3,-2439.7919178009033
2024-11-09T08:28:,11,66.254.114.41,?,0.0%,10,56.7,121.3,54.6,489.2,133.7,46.3,-2439.7919178009033
2024-11-09T08:31:,1,192.168.64.1,?,0.0%,10,0.8,0.8,0.5,1.1,0.2,66.9,386.0151767730713
2024-11-09T08:31:,2,10.11.0.2,?,0.0%,10,5.1,5.5,2.0,9.8,2.0,66.9,386.0151767730713
2024-11-09T08:31:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,8,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,9,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,10,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,66.9,386.0151767730713
2024-11-09T08:31:,11,66.254.114.41,?,10.0%,10,496.2,329.4,48.5,815.8,293.6,66.9,386.0151767730713
2024-11-09T08:34:,1,192.168.64.1,?,0.0%,10,0.5,0.7,0.3,1.1,0.3,45.7,6950.308561325073
2024-11-09T08:34:,2,10.11.0.2,?,0.0%,10,25.6,33.1,5.4,147.4,43.6,45.7,6950.308561325073
2024-11-09T08:34:,3,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,45.7,6950.308561325073
2024-11-09T08:34:,4,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,45.7,6950.308561325073
2024-11-09T08:34:,5,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,45.7,6950.308561325073
2024-11-09T08:34:,6,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,45.7,6950.308561325073
2024-11-09T08:34:,7,???,?,100.0,10,0.0,0.0,0.0,0.0,0.0,45.7,6950.308561325073
