DateTime,Hop,IP,Domain Name,Loss%,Sent,Last,Avg,Best,Worst,StDev,PING tot time,CURL tot time
2024-11-10T18:40:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.1,1.0,1.2,0.1,12.6,47.46222496032715
2024-11-10T18:40:,2,87.91.196.2,?,70.0%,10,1644.,1644.,1629.,1658.,14.5,12.6,47.46222496032715
2024-11-10T18:40:,3,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,12.6,47.46222496032715
2024-11-10T18:40:,4,62.34.2.135,?,0.0%,10,11.4,11.5,10.8,12.1,0.4,12.6,47.46222496032715
2024-11-10T18:40:,5,62.34.2.86,?,90.0%,10,10.9,10.9,10.9,10.9,0.0,12.6,47.46222496032715
2024-11-10T18:40:,6,152.195.108.200,ae-130.border1.pam.edgecastcdn.net,0.0%,10,11.7,13.6,11.2,30.3,5.9,12.6,47.46222496032715
2024-11-10T18:40:,7,152.195.108.131,ae-65.core1.pab.edgecastcdn.net,0.0%,10,12.3,21.2,11.9,58.2,15.6,12.6,47.46222496032715
2024-11-10T18:40:,8,152.195.34.118,?,0.0%,10,11.9,11.6,11.1,13.0,0.6,12.6,47.46222496032715
2024-11-10T18:45:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.1,0.9,1.6,0.2,11.1,38.31839561462402
2024-11-10T18:45:,2,87.91.196.2,?,30.0%,10,1700.,1588.,1384.,1703.,118.5,11.1,38.31839561462402
2024-11-10T18:45:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,4.0,4.0,4.0,4.0,0.0,11.1,38.31839561462402
2024-11-10T18:45:,4,62.34.2.135,?,0.0%,10,11.8,11.5,10.9,12.5,0.5,11.1,38.31839561462402
2024-11-10T18:45:,5,62.34.2.86,?,90.0%,10,11.2,11.2,11.2,11.2,0.0,11.1,38.31839561462402
2024-11-10T18:45:,6,152.195.108.200,ae-130.border1.pam.edgecastcdn.net,0.0%,10,11.6,11.7,11.3,12.2,0.3,11.1,38.31839561462402
2024-11-10T18:45:,7,152.195.108.131,ae-65.core1.pab.edgecastcdn.net,0.0%,10,12.2,15.0,11.6,31.8,6.4,11.1,38.31839561462402
2024-11-10T18:45:,8,152.195.34.118,?,0.0%,10,11.1,11.4,11.1,12.2,0.3,11.1,38.31839561462402
2024-11-10T18:49:,1,192.168.1.254,bbox.lan,0.0%,10,0.9,1.0,0.9,1.7,0.2,11.3,38.9862060546875
2024-11-10T18:49:,2,87.91.196.2,?,20.0%,10,1475.,1447.,1376.,1516.,59.0,11.3,38.9862060546875
2024-11-10T18:49:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,3.8,3.8,3.8,3.8,0.0,11.3,38.9862060546875
2024-11-10T18:49:,4,62.34.2.135,?,0.0%,10,11.2,11.3,10.8,11.9,0.3,11.3,38.9862060546875
2024-11-10T18:49:,5,62.34.2.86,?,80.0%,10,11.1,12.3,11.1,13.6,1.8,11.3,38.9862060546875
2024-11-10T18:49:,6,152.195.108.200,ae-130.border1.pam.edgecastcdn.net,0.0%,10,12.0,16.7,11.2,35.3,9.1,11.3,38.9862060546875
2024-11-10T18:49:,7,152.195.108.131,ae-65.core1.pab.edgecastcdn.net,0.0%,10,14.1,13.3,11.6,19.8,2.4,11.3,38.9862060546875
2024-11-10T18:49:,8,152.195.34.118,?,0.0%,10,11.7,11.3,10.8,12.1,0.4,11.3,38.9862060546875
2024-11-10T18:53:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.1,0.9,1.5,0.2,11.9,38.65981101989746
2024-11-10T18:53:,2,87.91.196.2,?,20.0%,10,1576.,1543.,1470.,1629.,54.3,11.9,38.65981101989746
2024-11-10T18:53:,3,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.9,38.65981101989746
2024-11-10T18:53:,4,62.34.2.135,?,0.0%,10,11.3,11.4,11.1,11.9,0.3,11.9,38.65981101989746
2024-11-10T18:53:,5,62.34.2.86,?,80.0%,10,11.4,11.2,11.1,11.4,0.2,11.9,38.65981101989746
2024-11-10T18:53:,6,152.195.108.200,ae-130.border1.pam.edgecastcdn.net,0.0%,10,11.6,18.8,11.1,45.9,12.5,11.9,38.65981101989746
2024-11-10T18:53:,7,152.195.108.131,ae-65.core1.pab.edgecastcdn.net,0.0%,10,11.7,12.9,11.3,20.7,2.8,11.9,38.65981101989746
2024-11-10T18:53:,8,152.195.34.118,?,0.0%,10,11.3,11.2,10.9,11.5,0.2,11.9,38.65981101989746
2024-11-10T18:58:,1,192.168.1.254,bbox.lan,0.0%,10,1.1,1.1,0.9,1.3,0.1,11.2,38.15770149230957
2024-11-10T18:58:,2,87.91.196.2,?,40.0%,10,1568.,1601.,1534.,1631.,40.6,11.2,38.15770149230957
2024-11-10T18:58:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,3.8,3.8,3.8,3.8,0.0,11.2,38.15770149230957
2024-11-10T18:58:,4,62.34.2.135,?,0.0%,10,11.6,11.5,11.0,13.2,0.6,11.2,38.15770149230957
2024-11-10T18:58:,5,62.34.2.86,?,90.0%,10,10.9,10.9,10.9,10.9,0.0,11.2,38.15770149230957
2024-11-10T18:58:,6,152.195.108.200,ae-130.border1.pam.edgecastcdn.net,0.0%,10,11.9,17.1,11.3,54.9,13.8,11.2,38.15770149230957
2024-11-10T18:58:,7,152.195.108.131,ae-65.core1.pab.edgecastcdn.net,0.0%,10,12.1,17.1,11.5,48.0,11.4,11.2,38.15770149230957
2024-11-10T18:58:,8,152.195.34.118,?,0.0%,10,11.3,11.2,11.1,11.5,0.1,11.2,38.15770149230957
2024-11-10T19:02:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.0,0.9,1.3,0.1,11.2,38.67149353027344
2024-11-10T19:02:,2,87.91.196.2,?,70.0%,10,1521.,1585.,1521.,1656.,67.9,11.2,38.67149353027344
2024-11-10T19:02:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,5.3,5.3,5.3,5.3,0.0,11.2,38.67149353027344
2024-11-10T19:02:,4,62.34.2.135,?,0.0%,10,11.2,11.3,11.1,11.6,0.2,11.2,38.67149353027344
2024-11-10T19:02:,5,62.34.2.86,?,80.0%,10,11.8,11.4,11.0,11.8,0.6,11.2,38.67149353027344
2024-11-10T19:02:,6,152.195.108.200,ae-130.border1.pam.edgecastcdn.net,0.0%,10,11.5,16.1,11.3,51.0,12.4,11.2,38.67149353027344
2024-11-10T19:02:,7,152.195.108.131,ae-65.core1.pab.edgecastcdn.net,0.0%,10,12.4,15.8,11.7,32.0,7.4,11.2,38.67149353027344
2024-11-10T19:02:,8,152.195.34.118,?,0.0%,10,11.1,11.3,11.1,11.9,0.2,11.2,38.67149353027344
