DateTime,Hop,IP,Domain Name,Loss%,Sent,Last,Avg,Best,Worst,StDev,PING tot time,CURL tot time
2024-11-11T00:51:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.0,0.9,1.2,0.1,11.5,Erreur dans la requête
2024-11-11T00:51:,2,87.91.196.2,?,50.0%,10,1536.,1510.,1482.,1540.,27.7,11.5,Erreur dans la requête
2024-11-11T00:51:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,4.0,4.0,4.0,4.0,0.0,11.5,Erreur dans la requête
2024-11-11T00:51:,4,62.34.2.135,?,0.0%,10,12.0,12.3,11.8,13.8,0.6,11.5,Erreur dans la requête
2024-11-11T00:51:,5,62.34.2.251,?,0.0%,10,13.3,12.3,11.8,13.3,0.5,11.5,Erreur dans la requête
2024-11-11T00:51:,6,???,???,100.0,10,0.0,0.0,0.0,0.0,0.0,11.5,Erreur dans la requête
2024-11-11T00:51:,7,84.17.32.104,bouyguestelecom-par.cdn77.com,0.0%,10,11.8,11.6,11.2,12.3,0.3,11.5,Erreur dans la requête
2024-11-11T00:51:,8,185.156.45.114,unn-185-156-45-114.cdn77.com,0.0%,10,12.0,11.8,11.4,12.1,0.2,11.5,Erreur dans la requête
2024-11-11T00:51:,9,185.156.45.109,vl223.par-itx5-dist-2.cdn77.com,0.0%,10,11.6,11.7,11.3,12.0,0.2,11.5,Erreur dans la requête
2024-11-11T00:51:,10,143.244.57.57,398494423.par.cdn77.com,0.0%,10,11.5,11.7,11.3,12.3,0.3,11.5,Erreur dans la requête
2024-11-11T00:55:,1,192.168.1.254,bbox.lan,0.0%,10,1.0,1.0,0.9,1.2,0.1,11.6,Erreur dans la requête
2024-11-11T00:55:,2,87.91.196.2,?,60.0%,10,1653.,1644.,1580.,1703.,50.6,11.6,Erreur dans la requête
2024-11-11T00:55:,3,62.34.3.103,i15-lef01-t2-62-34-3-103.ft.lns.abo.bbox.fr,90.0%,10,4.1,4.1,4.1,4.1,0.0,11.6,Erreur dans la requête
